Volumetric Equivalent,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,C1,C2,C3,C4,C5,D1,D2,D3,D4,D5,D6,D7,E1,E2,E3,E4,E5,F1,F2,F3,F4,F5,F6,G1,G2,G3,G4,H1,H2,H3,H4,H5,J1,J2
24.5,28.74,30.07,28.73,29,31.29,32.61,32.69,32.65,33.46,33.33,33.86,34.91,36.27,32.9,34.34,33.54,42.17,41.98,44.91,44.89,46.05,42.27,43.22,83.97,83.16,83.57,83.97,84.38,93.45,94.37,111.79,112.89,116.4,117.53,136.39,135.06,135.39,135.07,152.79,151.28,183.85,182.04,186.58,152.99,166.88
25,28.99,30.35,28.98,29.25,31.57,32.92,32.99,32.94,33.75,33.62,34.15,35.21,36.6,33.2,34.64,33.83,42.55,42.35,45.31,45.28,46.45,42.63,43.59,84.93,84.1,84.51,84.93,85.34,94.5,95.43,112.99,114.11,117.66,118.81,138.16,136.82,137.16,136.83,154.79,153.25,186.2,184.38,189,156.28,170.43
25.5,29.24,30.62,29.23,29.51,31.84,33.21,33.28,33.23,34.05,33.92,34.45,35.53,36.91,33.49,34.94,34.12,42.92,42.71,45.7,45.68,46.86,43.01,43.97,85.88,85.04,85.46,85.88,86.29,95.54,96.48,114.18,115.32,118.92,120.08,139.93,138.57,138.91,138.58,156.76,155.21,188.55,186.7,191.43,159.56,173.96
26,29.48,30.89,29.48,29.76,32.11,33.5,33.57,33.53,34.34,34.21,34.75,35.83,37.23,33.78,35.24,34.41,43.3,43.09,46.09,46.06,47.27,43.37,44.34,86.82,85.98,86.4,86.82,87.24,96.57,97.52,115.38,116.51,120.17,121.34,141.69,140.31,140.65,140.32,158.74,157.17,190.88,189.02,193.83,162.82,177.5
26.5,29.74,31.17,29.73,30.01,32.38,33.79,33.86,33.81,34.63,34.5,35.04,36.13,37.54,34.07,35.54,34.7,43.66,43.45,46.47,46.45,47.66,43.73,44.71,87.76,86.91,87.33,87.76,88.19,97.6,98.56,116.56,117.71,121.41,122.6,143.43,142.04,142.39,142.05,160.71,159.11,193.21,191.32,196.22,166.09,181.01
27,29.98,31.44,29.97,30.25,32.66,34.08,34.16,34.11,34.93,34.79,35.34,36.43,37.85,34.35,35.82,35,44.03,43.82,46.87,46.84,48.06,44.1,45.08,88.7,87.83,88.26,88.7,89.12,98.63,99.6,117.73,118.91,122.65,123.85,145.18,143.77,144.12,143.77,162.65,161.05,195.52,193.6,198.6,169.32,184.52
27.5,30.22,31.7,30.22,30.5,32.93,34.37,34.45,34.39,35.21,35.07,35.62,36.73,38.16,34.63,36.12,35.28,44.39,44.18,47.24,47.22,48.46,44.46,45.46,89.62,88.76,89.18,89.62,90.06,99.65,100.63,118.91,120.08,123.88,125.1,146.9,145.48,145.84,145.49,164.6,162.96,197.82,195.88,200.97,172.55,188
28,30.47,31.96,30.46,30.75,33.19,34.65,34.73,34.68,35.5,35.36,35.92,37.02,38.47,34.92,36.41,35.57,44.75,44.54,47.62,47.6,48.86,44.83,45.83,90.55,89.67,90.11,90.55,90.98,100.66,101.65,120.07,121.26,125.11,126.33,148.63,147.19,147.54,147.19,166.53,164.88,200.1,198.15,203.33,175.77,191.47
28.5,30.7,32.24,30.7,30.99,33.46,34.94,35.02,34.97,35.78,35.64,36.2,37.33,38.78,35.19,36.71,35.85,45.12,44.9,48.01,47.99,49.25,45.18,46.19,91.46,90.58,91.03,91.46,91.91,101.67,102.67,121.23,122.43,126.32,127.56,150.34,148.88,149.24,148.89,168.45,166.78,202.38,200.39,205.67,178.99,194.94
29,30.95,32.5,30.93,31.23,33.72,35.22,35.3,35.25,36.06,35.92,36.49,37.62,39.09,35.47,37,36.13,45.47,45.25,48.38,48.36,49.63,45.53,46.55,92.38,91.48,91.93,92.38,92.83,102.68,103.68,122.38,123.59,127.53,128.78,152.05,150.56,150.94,150.57,170.36,168.67,204.64,202.63,208,182.18,198.4
29.5,31.18,32.75,31.18,31.47,33.98,35.51,35.58,35.54,36.35,36.2,36.77,37.91,39.39,35.76,37.28,36.41,45.84,45.61,48.76,48.74,50.03,45.89,46.91,93.29,92.39,92.84,93.29,93.74,103.67,104.69,123.53,124.74,128.74,130,153.74,152.24,152.62,152.25,172.26,170.56,206.88,204.86,210.32,185.36,201.84
30,31.42,33.01,31.42,31.71,34.24,35.79,35.87,35.81,36.63,36.48,37.06,38.2,39.69,36.04,37.57,36.68,46.19,45.96,49.13,49.11,50.41,46.24,47.27,94.2,93.28,93.74,94.2,94.66,104.66,105.68,124.66,125.9,129.93,131.2,155.42,153.92,154.29,153.92,174.15,172.43,209.12,207.07,212.62,188.54,205.25
Over 30,0.26,0.29,0.26,0.26,0.29,0.31,0.31,0.3,0.31,0.31,0.31,0.32,0.33,0.31,0.32,0.31,0.38,0.38,0.41,0.41,0.42,0.38,0.38,0.99,0.98,0.99,0.99,1,1.09,1.09,1.24,1.26,1.31,1.32,1.83,1.82,1.82,1.82,2.05,2.04,2.44,2.41,2.5,3.49,3.75
